"","Country.Name","Country.Code","Indicator.Name","Indicator.Code","X2015","mathScores","readingScores","scienceScores"
"90823","Australia","AUS","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3",5.897734951,493.8962,502.9006,509.9939
"91012","Australia","AUS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS",2.5,493.8962,502.9006,509.9939
"91079","Australia","AUS","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS",82.9878745372358,493.8962,502.9006,509.9939
"91192","Australia","AUS","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5",11.8,493.8962,502.9006,509.9939
"91863","Austria","AUT","GDP (constant 2010 US$)","NY.GDP.MKTP.KD",412965802868.116,496.7423,484.8656,495.0375
"92044","Austria","AUT","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5",0.5,496.7423,484.8656,495.0375
"92094","Austria","AUT","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS",60.7000007629395,496.7423,484.8656,495.0375
"92111","Austria","AUT","Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)","SG.LAW.NODC.HR",0,496.7423,484.8656,495.0375
"92120","Austria","AUT","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",81.8439024390244,496.7423,484.8656,495.0375
"92195","Austria","AUT","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS",0.664018970245477,496.7423,484.8656,495.0375
"92337","Austria","AUT","Number of infant deaths","SH.DTH.IMRT",248,496.7423,484.8656,495.0375
"92398","Austria","AUT","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3",17.01299421,496.7423,484.8656,495.0375
"92587","Austria","AUT","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS",2.5,496.7423,484.8656,495.0375
"92654","Austria","AUT","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS",82.6386781447144,496.7423,484.8656,495.0375
"92767","Austria","AUT","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5",16.4,496.7423,484.8656,495.0375
"102888","Belgium","BEL","GDP (constant 2010 US$)","NY.GDP.MKTP.KD",508108332078.704,506.9844,498.5242,501.9997
"103069","Belgium","BEL","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5",1.9,506.9844,498.5242,501.9997
"103119","Belgium","BEL","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS",53.2999992370605,506.9844,498.5242,501.9997
"103136","Belgium","BEL","Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)","SG.LAW.NODC.HR",1,506.9844,498.5242,501.9997
"103145","Belgium","BEL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",81.2878048780488,506.9844,498.5242,501.9997
"103220","Belgium","BEL","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS",0.926577447548358,506.9844,498.5242,501.9997
"103362","Belgium","BEL","Number of infant deaths","SH.DTH.IMRT",411,506.9844,498.5242,501.9997
"103423","Belgium","BEL","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3",15.63662972,506.9844,498.5242,501.9997
"103612","Belgium","BEL","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS",2.5,506.9844,498.5242,501.9997
"103679","Belgium","BEL","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS",81.2002323008622,506.9844,498.5242,501.9997
